ioctl()SW-SEND    TIMESTAMP 1650296238.999878939
SW-SEND    TIMESTAMP 1650296239.009868958
SW-SEND    TIMESTAMP 1650296239.019864346
SW-SEND    TIMESTAMP 1650296239.029867717
SW-SEND    TIMESTAMP 1650296239.039866217
SW-SEND    TIMESTAMP 1650296239.049865050
SW-SEND    TIMESTAMP 1650296239.059867957
SW-SEND    TIMESTAMP 1650296239.069865735
SW-SEND    TIMESTAMP 1650296239.079866994
SW-SEND    TIMESTAMP 1650296239.089867327
SW-SEND    TIMESTAMP 1650296239.099865568
SW-SEND    TIMESTAMP 1650296239.109881215
SW-SEND    TIMESTAMP 1650296239.119868271
SW-SEND    TIMESTAMP 1650296239.129865789
SW-SEND    TIMESTAMP 1650296239.139864734
SW-SEND    TIMESTAMP 1650296239.149867807
SW-SEND    TIMESTAMP 1650296239.159867548
SW-SEND    TIMESTAMP 1650296239.169868566
SW-SEND    TIMESTAMP 1650296239.179868159
SW-SEND    TIMESTAMP 1650296239.189868307
SW-SEND    TIMESTAMP 1650296239.199867251
SW-SEND    TIMESTAMP 1650296239.209865417
SW-SEND    TIMESTAMP 1650296239.219867065
SW-SEND    TIMESTAMP 1650296239.229867454
SW-SEND    TIMESTAMP 1650296239.239868491
SW-SEND    TIMESTAMP 1650296239.249867176
SW-SEND    TIMESTAMP 1650296239.259869805
SW-SEND    TIMESTAMP 1650296239.269867879
SW-SEND    TIMESTAMP 1650296239.279868231
SW-SEND    TIMESTAMP 1650296239.289864601
SW-SEND    TIMESTAMP 1650296239.299866453
SW-SEND    TIMESTAMP 1650296239.309868119
SW-SEND    TIMESTAMP 1650296239.319866693
SW-SEND    TIMESTAMP 1650296239.329867008
SW-SEND    TIMESTAMP 1650296239.339866563
SW-SEND    TIMESTAMP 1650296239.349867934
SW-SEND    TIMESTAMP 1650296239.359867878
SW-SEND    TIMESTAMP 1650296239.369865544
SW-SEND    TIMESTAMP 1650296239.379864785
SW-SEND    TIMESTAMP 1650296239.389866637
SW-SEND    TIMESTAMP 1650296239.399867562
SW-SEND    TIMESTAMP 1650296239.409869784
SW-SEND    TIMESTAMP 1650296239.419867136
SW-SEND    TIMESTAMP 1650296239.429870265
SW-SEND    TIMESTAMP 1650296239.439879191
SW-SEND    TIMESTAMP 1650296239.449860358
SW-SEND    TIMESTAMP 1650296239.459868191
SW-SEND    TIMESTAMP 1650296239.469867450
SW-SEND    TIMESTAMP 1650296239.479868728
SW-SEND    TIMESTAMP 1650296239.489864209
SW-SEND    TIMESTAMP 1650296239.499867227
SW-SEND    TIMESTAMP 1650296239.509866727
SW-SEND    TIMESTAMP 1650296239.519866894
SW-SEND    TIMESTAMP 1650296239.529870819
SW-SEND    TIMESTAMP 1650296239.539884893
SW-SEND    TIMESTAMP 1650296239.549870504
SW-SEND    TIMESTAMP 1650296239.559874911
SW-SEND    TIMESTAMP 1650296239.569866170
SW-SEND    TIMESTAMP 1650296239.579863837
SW-SEND    TIMESTAMP 1650296239.589866429
SW-SEND    TIMESTAMP 1650296239.599866818
SW-SEND    TIMESTAMP 1650296239.609867448
SW-SEND    TIMESTAMP 1650296239.619868133
SW-SEND    TIMESTAMP 1650296239.629868410
SW-SEND    TIMESTAMP 1650296239.639868706
SW-SEND    TIMESTAMP 1650296239.649867299
SW-SEND    TIMESTAMP 1650296239.659866669
SW-SEND    TIMESTAMP 1650296239.669865539
SW-SEND    TIMESTAMP 1650296239.679867706
SW-SEND    TIMESTAMP 1650296239.689869816
SW-SEND    TIMESTAMP 1650296239.699868409
