,rtt
0,220028.0
1,151908.0
2,138268.0
3,145367.0
4,171452.0
5,138479.5
6,131603.0
7,130129.5
8,125774.5
9,125350.5
10,132174.0
11,130852.0
12,124554.0
13,121127.5
14,123789.0
15,115219.0
16,57683.5
17,104877.5
18,104352.5
19,66896.5
20,28863.0
21,37765.5
22,40369.0
23,46178.0
24,75171.0
25,39919.0
26,33518.5
27,105682.0
28,67997.0
29,29213.5
30,35082.5
31,28242.5
32,42718.0
33,62856.5
34,35267.5
35,22367.5
36,62326.0
37,32279.0
38,22938.0
39,28732.5
40,48160.0
41,33060.0
42,35223.0
43,28348.5
44,35380.0
45,20289.0
46,15230.0
47,49276.5
48,25409.0
49,29113.0
50,22266.5
51,22790.0
52,21694.0
53,26327.0
54,26691.0
55,30264.0
56,34917.0
57,29987.0
58,48765.0
59,31112.0
60,31412.5
61,34678.5
62,59409.5
63,25033.5
64,31799.0
65,33695.5
66,38640.0
67,88649.5
68,10036.5
69,27775.0
70,40407.5
71,57855.0
72,38309.5
73,46161.0
74,22888.0
75,30912.5
76,44928.5
77,33278.0
78,37876.5
79,33893.5
80,32242.0
81,78792.5
82,27504.5
83,34102.5
84,26125.0
85,33264.0
86,39542.5
87,32756.5
88,42020.0
89,34307.5
90,31245.5
91,31628.0
92,37657.0
93,27402.5
94,32000.5
95,43935.0
96,41945.5
97,50462.0
98,34636.0
99,35041.5
100,36021.5
101,40249.5
102,44972.5
103,36367.5
104,34201.5
105,38158.5
106,31099.5
107,35259.0
108,83001.0
109,33092.5
110,37209.0
111,36299.0
112,39080.5
113,33925.0
114,43198.5
115,34429.5
116,26911.0
117,36631.0
118,63823.5
119,41097.0
120,32006.0
121,34296.0
122,33435.5
123,40013.0
124,31078.0
125,37641.5
126,30613.0
127,40845.0
128,41497.5
129,31966.5
130,30729.0
131,78658.5
132,47043.0
133,39609.0
134,31830.0
135,39413.0
136,21472.5
137,30205.0
138,46030.5
139,32702.5
140,32928.0
141,31562.0
142,42174.0
143,38160.0
144,31411.0
145,31473.0
146,31662.5
147,84056.0
148,42167.0
149,31648.5
150,31275.5
151,115792.5
152,148550.5
153,91884.5
154,129640.5
155,158701.0
156,89193.0
157,116002.0
158,106071.5
159,61954.0
160,29457.0
161,38212.5
162,33307.5
163,34577.0
164,31814.5
165,36765.0
166,78858.0
167,28122.0
168,33999.0
169,33623.5
170,148444.0
171,138526.0
172,141301.0
173,138026.0
174,153956.5
175,132074.0
176,135827.5
177,133206.5
178,185957.0
179,122075.5
180,85689.0
181,46181.0
182,42230.0
183,41507.5
184,36971.5
185,35583.0
186,17241.0
187,35383.5
188,40477.0
189,32521.0
190,79315.5
191,32316.0
192,41618.0
193,35024.5
194,32430.5
195,31716.5
196,36721.0
197,33021.0
198,38639.0
199,22906.5
200,38047.5
201,31017.0
202,78657.0
203,35882.0
204,31730.5
205,33262.5
206,37249.0
207,33200.5
208,34693.0
209,34546.5
210,37095.5
211,80840.0
212,34312.0
213,33556.5
214,32059.5
215,39875.0
216,80873.5
217,34892.0
218,34690.0
219,50119.5
220,19697.0
221,31292.0
222,38101.5
223,34924.0
224,35076.5
225,77735.0
226,33550.0
227,80730.0
228,34634.0
229,33569.0
230,31401.5
231,17040.5
232,35038.0
233,37726.5
234,40170.5
235,32123.5
236,31174.0
237,33802.0
238,33139.0
239,39352.0
240,32420.5
241,31918.5
242,34298.0
243,43237.5
244,34356.5
245,33515.5
246,83679.5
247,39702.0
248,46553.5
249,34963.5
250,51498.0
251,53392.0
252,46387.5
253,44658.5
254,49363.0
255,33118.0
256,28960.5
257,84611.5
258,45531.0
259,38119.5
260,35268.5
261,30017.0
262,34589.0
263,33733.0
264,31668.5
265,31420.0
266,30570.5
267,41716.5
268,37226.0
269,40788.5
270,32277.0
271,31265.5
272,38701.5
273,31294.0
274,30461.5
275,31070.5
276,30961.0
277,153207.0
278,38625.5
279,31131.0
280,29922.0
281,41220.0
282,111795.0
283,108371.0
284,108224.5
285,125333.0
286,179607.5
287,110060.0
288,109686.5
289,39266.0
290,49285.0
291,34357.0
292,34748.0
293,132697.5
294,153458.0
295,178232.5
296,61422.0
297,55505.0
298,36821.5
299,39199.0
300,31628.0
301,31860.0
302,78371.0
303,97382.5
304,40515.5
305,32753.0
306,33624.5
307,82244.5
308,43141.5
309,38467.0
310,35179.5
311,33447.0
312,34590.0
313,42211.0
314,35920.0
315,34157.5
316,82685.0
317,101311.5
318,87199.5
319,28080.0
320,31280.5
321,81424.5
322,83178.0
323,98673.0
324,136161.0
325,149116.0
326,54716.5
327,30780.0
328,34789.5
329,33505.5
330,31740.5
331,34018.0
332,41255.0
333,33570.5
334,33825.0
335,75000.0
336,111037.5
337,149493.5
338,144001.0
339,34444.5
340,30211.5
341,37755.5
342,69266.0
343,31675.5
344,22688.0
345,40649.5
346,29912.0
347,30933.0
348,38612.0
349,18277.5
350,36869.5
351,20304.5
352,21777.0
353,18285.5
354,33473.0
355,24498.0
356,21297.5
357,24785.0
358,24032.0
359,27978.0
360,26172.5
361,22039.0
362,33757.5
363,31029.5
364,27790.5
365,23517.0
366,21559.0
367,27264.0
368,28802.0
369,28726.0
370,29925.0
371,102576.0
372,111220.0
373,107239.0
374,104979.5
375,31061.0
376,28606.5
377,126743.5
378,30591.0
379,31190.0
380,77048.5
381,35805.5
382,48696.0
383,29637.0
384,30049.5
385,43350.0
386,18235.0
387,44883.0
388,38466.0
389,28103.0
390,22530.5
391,21956.0
392,101572.5
393,54819.5
394,32943.0
395,37346.5
396,18956.5
397,101933.0
398,31463.0
399,34734.5
400,19381.5
401,19448.0
402,94453.0
403,32308.0
404,38440.0
405,26186.0
406,19559.5
407,85322.0
408,40706.5
409,22610.0
410,21880.0
411,32756.5
