,rtt
0,185264.5
1,141836.0
2,142857.5
3,111718.5
4,119711.5
5,119154.0
6,119639.5
7,117811.0
8,128076.5
9,124929.5
10,120995.5
11,123234.0
12,107417.0
13,125313.0
14,167815.5
15,143479.0
16,122636.0
17,133463.5
18,70975.5
19,115668.5
20,127567.5
21,124383.0
22,130801.5
23,125467.0
24,138049.5
25,90606.5
26,90619.5
27,127120.5
28,124676.5
29,119046.5
30,106674.5
31,116219.5
32,113584.5
33,107810.5
34,118568.0
35,59352.0
36,43349.5
37,115509.5
38,93155.0
39,139541.5
40,101878.5
41,124810.0
42,101703.5
43,115271.5
44,52228.0
45,50103.0
46,34626.0
47,128294.5
48,97767.0
49,118188.5
50,103645.0
51,116579.0
52,99064.0
53,123438.0
54,99556.0
55,125395.0
56,98239.5
57,156472.5
58,74603.5
59,43371.0
60,46421.5
61,62191.5
62,57006.0
63,63350.5
64,43126.5
65,56838.0
66,39584.5
67,40425.0
68,46210.5
69,17454.0
70,37092.0
71,84317.5
72,91820.5
73,85174.0
74,90970.0
75,83097.5
76,80420.0
77,85402.5
78,46780.5
79,40367.5
80,44080.5
81,55325.0
82,73097.0
83,67494.5
84,82287.0
85,87957.0
86,88800.0
87,85347.5
88,87889.0
89,80974.5
90,83519.5
91,86011.0
92,56613.5
93,93847.0
94,87306.0
95,83472.0
96,82365.5
97,82230.5
98,38455.0
99,62635.0
100,84418.0
101,81969.0
102,87606.0
103,84947.5
104,84749.5
105,83744.0
106,82150.0
107,83832.5
108,83138.5
109,89229.5
110,47515.5
111,81617.5
112,76715.5
113,60908.0
114,90955.5
115,85804.5
116,83951.0
117,85383.0
118,94871.0
119,87064.5
120,85713.5
121,87566.0
122,56440.5
123,94761.0
124,89959.5
125,83634.5
126,87456.0
127,81757.5
128,62774.0
129,53505.5
130,51673.0
131,46502.0
132,23266.5
133,37945.5
134,28240.0
135,28026.0
136,21822.0
137,26182.0
138,26276.0
139,27203.5
140,34700.5
141,27260.5
142,33284.5
143,25967.0
144,33348.5
145,32812.0
146,27374.5
147,25107.0
148,26532.0
149,25323.0
150,28703.0
151,33674.0
152,30326.0
153,25264.5
154,31574.5
155,32071.0
156,29325.5
157,27644.5
158,35585.0
159,35380.0
160,22740.5
161,33977.0
162,59542.0
163,72930.5
164,61842.0
165,76022.0
166,24405.5
167,30916.5
168,35889.0
169,68828.5
170,129349.5
171,103333.5
172,92623.5
173,93356.0
174,92742.0
